Hundename,Score,URL,EpiProgeny
"Hedenhampark Lace",0.125,"url","Tealshead Bracken"
"FTW Pathehead Bracken",0.125,"url","Tealshead Bracken"
"Shadowbrae Pepper",0.125,"url","Tealshead Bracken"
"DK FTCh TM MPM 2001 2002 2004 2006 Aspijana Eagle Eye Cherry",0.125,"url","Tealshead Bracken"
"Fury vom Klingerhuf",0.125,"url","Ulanda aus dem Burghaus"
"Assi vom Klingerhuf",0.125,"url","Ulanda aus dem Burghaus"
"SA Ch Ballyduff Barrister of Woodridge",0.125,"url","Ulanda aus dem Burghaus"
"Hussar's Great Expectations (<1981)",0.125,"url","Ulanda aus dem Burghaus"
"Unchained Melody Of Tintagel Winds",0.125,"url","Ulanda aus dem Burghaus"
"UK ShCh Sandylands Bella",0.125,"url","Ulanda aus dem Burghaus"
"GB.Sh.Ch. Follytower Augusta",0.125,"url","Usvalinnun Asterix"
"Lawnwoods Vanity Fare",0.125,"url","Usvalinnun Asterix"
"NUCH Licithas Alexandra",0.125,"url","Usvalinnun Asterix"
"Mallards Peeper Popper",0.125,"url","Usvalinnun Asterix"
"Tomakon Celina",0.125,"url","Usvalinnun Asterix"
"Elowood Fern",0.125,"url","Usvalinnun Cessi"
"GB Sh.Ch. Marbra Minstrel",0.125,"url","Usvalinnun Cessi"
"Priorise Morwena",0.125,"url","Usvalinnun Cessi"
"Chiquitita (SF17537D/79)",0.125,"url","Usvalinnun Cessi"
"Carmengirl",0.125,"url","Usvalinnun Cessi"
"Kenmilfore Beca Ft.W.",0.125,"url","S?KH I VATTUMANNEN HUMLE"
"FTCh Blue Stone Timmy",0.125,"url","S?KH I VATTUMANNEN HUMLE"
"Bohasset Barley Twist",0.125,"url","S?KH I VATTUMANNEN HUMLE"
"Greenbriar Ymir",0.125,"url","S?KH I VATTUMANNEN HUMLE"
"GB FTCh Tweedshot Kite",0.125,"url","Vauhti-Noudon Vauhtineito"
"FTW Caulliechat Rebel of Garngoch at Ffynongain",0.125,"url","Vauhti-Noudon Vauhtineito"
"Ffynongain Gold",0.125,"url","Vauhti-Noudon Vauhtineito"
"FTCh Bringwood Bobby of Brindlebay",0.125,"url","Vauhti-Noudon Vauhtineito"
"Moorman's Hedera",0.125,"url","Vauhti-Noudon Vauhtineito"
"Tisketh Tickle Me",0.125,"url","Vigo von der Pfalz"
"Ardmargha So Musical",0.125,"url","Vigo von der Pfalz"
"Lyndhurst Diana",0.125,"url","Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"Black Adder of Clevebourne",0.125,"url","Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
"Fiona of Drakeshead",0.125,"url","Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
"Carlson's Golden Globe Award",0.125,"url","Water Dancer A Boy Called Boje"
"Carlson's Calli A Red Hot Topic",0.125,"url","Water Dancer A Boy Called Boje"
"Manorview's Sundance Kid",0.125,"url","Water Dancer A Boy Called Boje"
"Rumajas Amber Sky Cassandra",0.125,"url","Water Dancer A Boy Called Boje"
"Boradors Moose",0.125,"url","Water Dancer A Boy Called Boje"
"Keepsake Redmona",0.125,"url","Water Dancer A Boy Called Boje"
"Am.Ch. Avalon's Law and Order",0.125,"url","Water Dancer A Boy Called Boje"
"Avalon's Morningstar Gem",0.125,"url","Water Dancer A Boy Called Boje"
"INT CH,  FI/EE CH, FINW-06 LTW-08 Follies Mon Oncle",0.125,"url","Water Dancer A Boy Called Boje"
"IntCh., VDH Ch, DRC Ch., JunCh VDH+LCD Rosefair Happy Go Lucky",0.125,"url","Water Dancer A Boy Called Boje"
"LCD-/VDH-CHAMPION ES'08  Withara's Sarahs Lovely Robin",0.125,"url","Water Dancer A Boy Called Boje"
"Sudeo Rose",0.125,"url","Water Dancer A Boy Called Boje"
"Ch. Chloe Z Kastanove Aleje",0.125,"url","Water Dancer A Boy Called Boje"
"Int Ch Othamcourt Rue of Colinwood",0.125,"url","Water Dancer A Boy Called Boje"
"Sibuna Back to Front of Tintagel Winds",0.125,"url","Water Dancer A Boy Called Boje"
"FTCh Birdbrook Astra",0.125,"url","Wijmas Lilla My, Wijmas Mymlan"
"FTCH Raughlin Eppy",0.125,"url","Wijmas Lilla My, Wijmas Mymlan"
"Toby Of Osprey",0.125,"url","Willowridge G�sta-Berling"
"SE JCH Nattens Black Diamond",0.125,"url","Willowridge G�sta-Berling"
"SEJCH Twiggs Tufted Duck",0.125,"url","Willowridge G�sta-Berling"
"Twigg's Unmatchable",0.125,"url","Willowridge G�sta-Berling"
"SE JCH Spik-Lasses Flisa",0.125,"url","Willowridge G�sta-Berling"
"MBISS AmGCH CanCH Venetian's Copy That",0.125,"url","Wim"
"Cedarwood's Valentine Hunter",0.125,"url","Wim"
"CAN CH Beechcroft's Pardon Me Sir",0.125,"url","Wim"
"Claychalk Costa Markka",0.125,"url","Wim"
"INT PL PLj Ch Dolbia Christian Lacroix",0.125,"url","Wim"
"Dolbia U Look Good",0.125,"url","Wim"
"Dkny Sitkowski Bor",0.125,"url","Wim"
"Awangarda Sodalis",0.125,"url","Wim"
"Elerrina The World is Not Enough",0.125,"url","Wim"
"Oky-Doky v.h. Oosterhuis",0.125,"url","Wim"
"Balrion Weathertop Aramis",0.125,"url","Wim"
"Oakhouse One Up",0.125,"url","Wim"
"Kindly American Pooh Beer v. d. Weeward",0.125,"url","Wim"
"Annabelle v.h. Florijntje",0.125,"url","Wim"
"AmCH Hightide Bona Venture Cap'n Jack",0.125,"url","Yes we can Flic in France"
"Carriage Hill's Black Lass",0.125,"url","Yes we can Flic in France"
"Carriage Hill's Thyme After Thyme",0.125,"url","Yes we can Flic in France"
"IntCh, AmCH, Braz, Can, Pan Beechcroft's Perfect Charmer",0.125,"url","Yes we can Flic in France"
"Can CH Beechcroft's Stardust",0.125,"url","Yes we can Flic in France"
"Beechcroft's Perfect Blend",0.125,"url","Yes we can Flic in France"
"Beechcroft's Pride of High Society",0.125,"url","Yes we can Flic in France"
"BISS AmCH Wit's End Jacks Or Better At Blackwing",0.125,"url","Yes we can Flic in France"
"BISS CH Allegheny's Bells Of Ireland",0.125,"url","Yes we can Flic in France"
"SE(u)UCH Annual's Trendsetter",0.125,"url","Yes we can Flic in France"
"Annual's Navy Girl",0.125,"url","Yes we can Flic in France"
"Licithas Kazan",0.125,"url","Yes we can Flic in France"
"Mambrinos F.B.I.",0.125,"url","Yes we can Flic in France"
"Huntly German Georgia on my Mind",0.125,"url","Yes we can Flic in France"
"SE JCH Classical Swe-Dane Cancan",0.125,"url","Zetastar Zesty Boy"
"Warringah's Hot Taffy",0.0625,"url","Aaron from Elderberry Grove"
"Wishwood Charlotte",0.0625,"url","Aaron from Elderberry Grove"
"Arrowshaft Squire's Daughter of Gallybob",0.0625,"url","Aaron from Elderberry Grove"
"Lawnwoods Camilot",0.0625,"url","Aaron from Elderberry Grove"
"Cadonau's Beauty in Black",0.0625,"url","Aika vom Steindammer-Forst"
"Sunbrook's On the Move",0.0625,"url","Aika vom Steindammer-Forst"
"Sea-Birds Yummy Chocolate Pudding",0.0625,"url","Aika vom Steindammer-Forst"
"Ronja aus L�hlsbusch",0.0625,"url","Aika vom Steindammer-Forst"
"�alflasker Amie Ditte",0.0625,"url","Aika vom Steindammer-Forst"
"Mars Delight",0.0625,"url","Aika vom Steindammer-Forst"
"Palcon's Oline",0.0625,"url","Aika vom Steindammer-Forst"
"Balance of Power vom Gerretsfeld",0.0625,"url","Aika vom Steindammer-Forst"
"GB CH Ballyduff Hollybranch of Keithray",0.0625,"url","Alflasker Barni"
"Cookridge Negra",0.0625,"url","Alflasker Barni"
"Timspring Martin",0.0625,"url","Alflasker Barni"
"GB.Ch. Timspring Jubilant",0.0625,"url","Alflasker Barni"
"Minvans Esmaralda",0.0625,"url","Alflasker Barni"
"SE UCh, SE FT Ch. Pendil of Ballyduff",0.0625,"url","Alflasker Barni"
"Puhs Black Bird",0.0625,"url","Alflasker Barni"
"Cambremer Petrocelli",0.0625,"url","Alflasker Barni"
"Poolstead Purpose of Cranspire",0.0625,"url","Alflasker Barni"
"Curnafane Charlady",0.0625,"url","Alflasker Barni"
"Curnafane Eve",0.0625,"url","Alflasker Barni"
"GB.Ch. Curnafane Seamansal",0.0625,"url","Alflasker Barni"
"Passingridge Megan",0.0625,"url","Alflasker Barni"
"Manymills Hobby",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Manymills Ladybird",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Caccia Monsignore",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Grinneras Dihna",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Rainstone Texas",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Minnows Christmas Pride",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Broadville Donna",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Gilh�j's Onkel Orla",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Rosbjerg's Beauty",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"SE VCH Foulby Neptune",0.0625,"url","Alsn�sets Hagla's Midnattssol"
"Sandringham Skid",0.0625,"url","Amamus Pica-Pica"
"Sandringham Pippit",0.0625,"url","Amamus Pica-Pica"
"Rockstead Footswish",0.0625,"url","Amamus Pica-Pica"
"Eng.Nat.Ft.Ch. Hedenhampark Holcot Fay",0.0625,"url","Amamus Pica-Pica"
"Eng.Nat.Ft.Ch. Glenfarg Skid",0.0625,"url","Amamus Pica-Pica"
"Sandringham Juniper",0.0625,"url","Amamus Pica-Pica"
"FTCh Glenfarg Dante",0.0625,"url","Amamus Pica-Pica"
"Spudtamsons Strong Runner",0.0625,"url","Amamus Pica-Pica"
"Welston Teal",0.0625,"url","Amamus Pica-Pica"
"Keltie Freda",0.0625,"url","Amamus Pica-Pica"
"Brackenbank Biennmhor Major",0.0625,"url","Amamus Pica-Pica"
"Sue of Edmondthorpe",0.0625,"url","Amamus Pica-Pica"
"Ayla (S04211/61)",0.0625,"url","Amamus Pica-Pica"
"Int.Ch., SE, DK Ch Nattens Solange",0.0625,"url","Amamus Pica-Pica"
"Can. Ch. Superbe Z?phyr des Savanes",0.0625,"url","Angel of Hope Arik"
"Chablais Caroube",0.0625,"url","Angel of Hope Arik"
"Sandylands Gypsy of Rockabee",0.0625,"url","Angel of Hope Arik"
"Hazelbeach Hoorah Henry of Llanstinan",0.0625,"url","Angel of Hope Arik"
"Lewisan Love Quest",0.0625,"url","Angel of Hope Arik"
"Narjana's Leo Linemaker",0.0625,"url","Angel of Hope Arik"
"O'Sofinas Touch of Magic",0.0625,"url","Angel of Hope Arik"
"Mallorn's Koh-I-Noor",0.0625,"url","Angel of Hope Arik"
"Oulsmi Bold As Brass",0.0625,"url","Angel of Hope Arik"
"Carromer Heaven Sent at Amberstope",0.0625,"url","Anthony Kenneth from Grannies Garden"
"Ludalor Lloyd",0.0625,"url","Anthony Kenneth from Grannies Garden"
"Tuxford Yellow Rose at Ludalor",0.0625,"url","Anthony Kenneth from Grannies Garden"
"Kimbleton Ballerina",0.0625,"url","Anthony Kenneth from Grannies Garden"
"Greenworth Odds Against",0.0625,"url","Anthony Kenneth from Grannies Garden"
"Martinstide Chantilly Lace",0.0625,"url","Anthony Kenneth from Grannies Garden"
"Attikonak He's Somebodys Everything",0.0625,"url","Anthony Kenneth from Grannies Garden"
"CH Dolphingham Daimler Benz JW",0.0625,"url","Anthony Kenneth from Grannies Garden"
"Gowanvale Royal Lady",0.0625,"url","Armani Damon vom Asbrookdamm"
"Farbournes Touchdown",0.0625,"url","Armani Damon vom Asbrookdamm"
"Flanders Pride Tutti-Frutti",0.0625,"url","Armani Damon vom Asbrookdamm"
"Tisketh Martell of Brambleridge",0.0625,"url","Armani Damon vom Asbrookdamm"
"Nor. Ch. Tjotte's Heaven Can Wait",0.0625,"url","Armani Damon vom Asbrookdamm"
"GB Sh. Ch. Lasgarn Laudrup",0.0625,"url","Armani Damon vom Asbrookdamm"
"Nonairbra Chocolate Sequin",0.0625,"url","Armani Damon vom Asbrookdamm"
"Attemosegaard Lonely Rider",0.0625,"url","As Game As Ermara"
"Chi-Las Peppermint Paddy",0.0625,"url","As Game As Ermara"
"Aroscas Amazing Miss",0.0625,"url","As Game As Ermara"
"Strammers Shellduck",0.0625,"url","As Game As Ermara"
"Cornlands Diant Man In Black",0.0625,"url","As Game As Ermara"
"Diant Staragain",0.0625,"url","As Game As Ermara"
"Kara of Cadover",0.0625,"url","Batmoors' Apollo Lurgan"
"Gwynethberry of the Oaks",0.0625,"url","Bj�ragardens Timmy-Willie"
"UK Ch Reanacre Twister",0.0625,"url","Bj�ragardens Timmy-Willie"
"Glencoin Braeroy Rue",0.0625,"url","Bj�ragardens Timmy-Willie"
"Boomerang of Weaverdale",0.0625,"url","Bj�ragardens Timmy-Willie"
"Cindy Queen of Kenstaff",0.0625,"url","Bj�ragardens Timmy-Willie"
"Brackenbank Joshua",0.0625,"url","Bj�ragardens Timmy-Willie"
"Brackenbank Vicky",0.0625,"url","Bj�ragardens Timmy-Willie"
"FTW Danbrias Black Tern",0.0625,"url","Bj�ragardens Timmy-Willie"
"FTCh Stonnerpoint Be Hopeful of Kenswick",0.0625,"url","Bj�ragardens Timmy-Willie"
"Stonnerpoint Nathaniel FTW",0.0625,"url","Bj�ragardens Timmy-Willie"
"Pandora Surprise",0.0625,"url","Bj�ragardens Timmy-Willie"
"Hirsipirtin Amanda",0.0625,"url","Black Bet's Gillie"
"Mallards Deep Purple",0.0625,"url","Black Bet's Gillie"
"Deras Eaton",0.0625,"url","Black Bet's Gillie"
"Aroscas Mad Light",0.0625,"url","Black Bet's Gillie"
"FIN CH Nattens Sportsman FIN OCH",0.0625,"url","Black Bet's Gillie"
"Tossu (SF00698D/78)",0.0625,"url","Black Bet's Gillie"
"Lawnwoods Breakaway",0.0625,"url","Black Bet's Gillie"
"Timspring Eider",0.0625,"url","Black Bet's Gillie"
"FIN Ch Hiski (SF117058/74)",0.0625,"url","Black Bet's Gillie"
"FIN CH, FIN TCH Jane (SF04911U/75)",0.0625,"url","Black Bet's Gillie"
"Tweedledum Velvet Touch",0.0625,"url","Black Bet's Gillie"
"Mardas Played Truant",0.0625,"url","Black Hamlet L for Lake Shasta"
"Nunneyswood Dusky Dawn",0.0625,"url","Black Hamlet L for Lake Shasta"
"Annakay Highlander",0.0625,"url","Black Hamlet L for Lake Shasta"
"Wight Eclipse over Nunneyswood",0.0625,"url","Black Hamlet L for Lake Shasta"
"Astonbrook Gemini",0.0625,"url","Brookhill's Crabman"
"Follytower Meg",0.0625,"url","Brookhill's Crabman"
"Puhs Indra",0.0625,"url","Brookhill's Crabman"
"NO UCH Surprising's Kornelia",0.0625,"url","Brookhill's Crabman"
"SECH Puhs Black Label",0.0625,"url","Brookhill's Crabman"
"Norw CH Mementos Matilda",0.0625,"url","Brookhill's Crabman"
"NO UCH Narjanas Annah Kondah",0.0625,"url","Brookhill's Crabman"
"Stowlodge Serin at Wishwood",0.0625,"url","Brookhill's Crabman"
"Lawnwood Free And Easy",0.0625,"url","Brookhill's Crabman"
"FIN CH Reflect Remetzelda",0.0625,"url","Brookhill's Crabman"
"Elmbrook Lancer of Tweedshot",0.0625,"url","Brufinn Keep Retrieving Doc"
"Tweedshot Quibble",0.0625,"url","Brufinn Keep Retrieving Doc"
"Am/Mex/Int CH Janwood Secret Agent CD WC",0.0625,"url","Cannonpowder Penelope"
"AmCH Alvgardens Mischief Maker Of Janrod JH WC",0.0625,"url","Cannonpowder Penelope"
"Ethusan Tonnikeiju",0.0625,"url","Cannonpowder Penelope"
"Country Flowers Gentle Gilbert",0.0625,"url","Cannonpowder Penelope"
"Minnows Easter Rose",0.0625,"url","Cannonpowder Penelope"
"SE UCH NO UCH Rocksteady Day By Day",0.0625,"url","Cannonpowder Penelope"
"Rainstone Rover",0.0625,"url","Cannonpowder Penelope"
"Rainstone Fuchsia",0.0625,"url","Cannonpowder Penelope"
"AmCH Mijans Hot Stuff",0.0625,"url","Cannonpowder Penelope"
"Am.Ch. Valleywood Classique Gem CD, CGC, TDI",0.0625,"url","Cannonpowder Penelope"
"Cindys John-Richard",0.0625,"url","Cannonpowder Penelope"
"SE UCH FI UCH INT UCH Swedish Dual CH Gun-Smokes Eliza",0.0625,"url","Cannonpowder Penelope"
"Sorbus Nightingale",0.0625,"url","Cannonpowder Penelope"
"Waterbound River Witch",0.0625,"url","Cannonpowder Penelope"
"Wingmstr's Just Another Fella",0.0625,"url","Cannonpowder Penelope"
"AmCH Dickendall Davron Expose",0.0625,"url","Cannonpowder Penelope"
"CH FIN Santtomin Epatoivo",0.0625,"url","Cannonpowder Penelope"
"FIN TrCh Applehill's Mayday",0.0625,"url","Cannonpowder Penelope"
"FTW Brockweir Hepatica",0.0625,"url","Caper Cailie's Ohio"
"Styleside Thistle",0.0625,"url","Carson vom Stecknitztal"
"Beryn Black Cherry",0.0625,"url","Carson vom Stecknitztal"
"FTCh/IrlFTCh Raughlin Whippet",0.0625,"url","Carson vom Stecknitztal"
"Jordanslodge Sola",0.0625,"url","Carson vom Stecknitztal"
"Bobby of Shavington",0.0625,"url","Carson vom Stecknitztal"
"Leacross Lucy",0.0625,"url","Carson vom Stecknitztal"
"Tibea Tawny",0.0625,"url","Carson vom Stecknitztal"
"Mirco vom Keien Fenn",0.0625,"url","Carson vom Stecknitztal"
"Chi-Las Angus My Lad",0.0625,"url","Carson vom Stecknitztal"
"?bakkens Sabine",0.0625,"url","Carson vom Stecknitztal"
"Rocheby Cherish at Birchbrook",0.0625,"url","Cassiopeia vom Hof F?rst"
"Am. Can. CH Jolly Captain Gibson CD JH WCX",0.0625,"url","Cassiopeia vom Hof F?rst"
"Am/Can CH Breton Gate Cairngorm CD JH",0.0625,"url","Cassiopeia vom Hof F?rst"
"AmCH Broyhill Hennings Casino",0.0625,"url","Cassiopeia vom Hof F?rst"
"Beechcrofts Shadowglen Joy",0.0625,"url","Cassiopeia vom Hof F?rst"
"Veyatie Tobermoray",0.0625,"url","Cassiopeia vom Hof F?rst"
"Veyatie High Society",0.0625,"url","Cassiopeia vom Hof F?rst"
"Mona Lisa of Lucifers Delight",0.0625,"url","Cassiopeia vom Hof F?rst"
"Edda of Horny",0.0625,"url","Catch me if you can Happy Carlo"
"Ophelia aus L�hlsbusch",0.0625,"url","Catch me if you can Happy Carlo"
"Lindall The Business",0.0625,"url","Catch me if you can Happy Carlo"
"GB.Sh.Ch. Lindall Bit Of Class",0.0625,"url","Catch me if you can Happy Carlo"
"Ceasarscreek Midnight Gem",0.0625,"url","Catch me if you can Happy Carlo"
"Broadmarks Nancy",0.0625,"url","Catch me if you can Happy Carlo"
"Ivyland Tessa/Tesa",0.0625,"url","Charway Rainstorm"
"FTCh Abbotsleigh Lynx",0.0625,"url","Charway Rainstorm"
"Chippinghurst Cindy",0.0625,"url","Charway Rainstorm"
"FTCh Swift of Swinbrook",0.0625,"url","Charway Rainstorm"
"Swinbrook Mosquito",0.0625,"url","Charway Rainstorm"
"Simmerdin Cleo",0.0625,"url","Chilihunters Pro Hazy"
"Glenjay Jonty of Hawbridge",0.0625,"url","Chilihunters Pro Hazy"
"Mirstan Kirsty",0.0625,"url","Chilihunters Pro Hazy"
"NZ CH Carpenny Chateau Cranspire",0.0625,"url","Clausi von der Aacher Haag"
"Sandylands Forever Amber at Tibblestone",0.0625,"url","Clausi von der Aacher Haag"
"Lenches Peppermint",0.0625,"url","Clausi von der Aacher Haag"
"Kelvinhead Fawn",0.0625,"url","Cliff vom Zwillbrocker Venn"
"Walkabout Blackthorn",0.0625,"url","Cliff vom Zwillbrocker Venn"
"FT Ch Sweettrees Rightstuff",0.0625,"url","Cliff vom Zwillbrocker Venn"
"Westhala Orlando of Wenthorpe",0.0625,"url","Cliff vom Zwillbrocker Venn"
"Dusty Monarch",0.0625,"url","Cliff vom Zwillbrocker Venn"
"FTCh Leadburn Prince",0.0625,"url","Clinton vom Hembeck"
"Kelvinhead Comet",0.0625,"url","Clinton vom Hembeck"
"DKBRCH Tarok Trip",0.0625,"url","Clinton vom Hembeck"
"Borre's Bine",0.0625,"url","Clinton vom Hembeck"
"Sandylands Special Song",0.0625,"url","Clinton vom Hembeck"
"Ruselton Georgia May",0.0625,"url","Clinton vom Hembeck"
"Minnows Zittra",0.0625,"url","Clinton vom Hembeck"
"Like'ims Sammy Jo",0.0625,"url","Clinton vom Hembeck"
"White Loch Willow",0.0625,"url","Cosmic Cover's Mill's Jaywalker"
"Moonbeam Amy of Danestone",0.0625,"url","Cosmic Cover's Mill's Jaywalker"
"Balado Shadow",0.0625,"url","Cosmic Cover's Mill's Jaywalker"
"FTCh Shortthorn Tommy of Leadburn",0.0625,"url","Cosmic Cover's Mill's Jaywalker"
"Rockingstone Pride",0.0625,"url","Cosmic Cover's Mill's Jaywalker"
"Saddleworth Bouncing Boy",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"FTCh Glenlowie Cedar of Killieford",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"FTCh Glenmuick Achiever",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"Dealminster Georgie Girl",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"Hoffbank Daisy Hill",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"FTCh Staindrop Kite",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"FTW Birdbrook Pippa",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"Staftly Princess",0.0625,"url","COSMIC COVER'S WIN CALL TO FIND OUT"
"Wiscoys Irish Lace Of Brimar CD RE JH",0.0625,"url","Country Companion's Choco Pie"
"Am CH Valleywood Blackthorn Brier",0.0625,"url","Country Companion's Choco Pie"
"AmCH Mar-Moye Love Affair At Kai Den WC",0.0625,"url","Country Companion's Choco Pie"
"Aquamarine-Wave Honolulu",0.0625,"url","Country Companion's Choco Pie"
"Additional Glamour of Poet's Corner",0.0625,"url","Country Companion's Choco Pie"
"AM CH Windfall Lubberline Regatta",0.0625,"url","Country Companion's Choco Pie"
"Miramonte Most Wanted",0.0625,"url","Country Companion's Choco Pie"
"Special Harvest Twister Time",0.0625,"url","Country Companion's Choco Pie"
"Liberty Kimberley v.h. Oosterhuis",0.0625,"url","Country Companion's Choco Pie"
"AmCH Kai Den's Black Tie Affair JH WC",0.0625,"url","Country Companion's Choco Pie"
"Willcare's Special Delivery CD",0.0625,"url","Country Companion's Choco Pie"
"Dear Jari v.'T Meijelicht",0.0625,"url","Country Companion's Choco Pie"
"Toplicht Miracle's Mac Milan",0.0625,"url","Country Companion's Choco Pie"
"Penny Royal's Dutch Coffee",0.0625,"url","Country Companion's Choco Pie"
"Penny Royal's Stroke of Luck",0.0625,"url","Country Companion's Choco Pie"
"Beechcrofts Clover of O'Henry WC",0.0625,"url","Dark Water's Endless Star"
"IntUCH SUCH SFUCH  Lillimar's Cheers Bero of Bonfire",0.0625,"url","Dark Water's Endless Star"
"�lvg�rdens So-Lo-La",0.0625,"url","Dark Water's Endless Star"
"Knorrs Sj�r�vare",0.0625,"url","Dark Water's Endless Star"
"Lady Upstream's Akita",0.0625,"url","Dark Water's Endless Star"
"Busan (S55234/84)",0.0625,"url","Dark Water's Endless Star"
"KBHV86 Malu (DK 21723/84)",0.0625,"url","Dark Water's Endless Star"
"Dunsinane Marquis Posa",0.0625,"url","Dark Water's Endless Star"
"Bella (DK 07351/83)",0.0625,"url","Dark Water's Endless Star"
"FTW Tarryholme Firecracker",0.0625,"url","Deep Impact As Nike"
"Mandacre Storm Petrel",0.0625,"url","Dimh�jdens Jack Af Barney"
"Bjerregaard's Spinner",0.0625,"url","Dimh�jdens Jack Af Barney"
"Birchstone Kramer",0.0625,"url","Dimh�jdens Jack Af Barney"
"Oebakkens Bianca",0.0625,"url","Dimh�jdens Jack Af Barney"
"Penrose Black Beetle",0.0625,"url","Dimh�jdens Jack Af Barney"
"Myrthagens Hekla",0.0625,"url","Dimh�jdens Jack Af Barney"
"Moorman's Dundee",0.0625,"url","Dimh�jdens Jack Af Barney"
"Stens?ter Coffee",0.0625,"url","Dimh�jdens Jack Af Barney"
"Diant Whisper",0.0625,"url","Dirk von Stieg"
"GB Ch Kinley Skipper",0.0625,"url","Dirk von Stieg"
"Aust CH Sandylands Tan",0.0625,"url","Dirk von Stieg"
"Sandylands Shadow",0.0625,"url","Dirk von Stieg"
"GB Sh.Ch. Sandylands Sam",0.0625,"url","Dirk von Stieg"
"Antonia of Marblehill",0.0625,"url","Dirk von Stieg"
"Liddly Stephenotus",0.0625,"url","Dirk von Stieg"
"Liddly Sauterne",0.0625,"url","Dirk von Stieg"
"Ch Bj�rn/Bjorn (Aspens Zingaro x Laila av Oppensten)",0.0625,"url","Dirk von Stieg"
"Lobelia (Liddly Cider x Liddly Cornflower)",0.0625,"url","Dirk von Stieg"
"Bobby Macamber",0.0625,"url","Dirk von Stieg"
"Glance's Successor",0.0625,"url","Dirk von Stieg"
"Peggy (daughter of Knaith Caerlaverock Bracken)",0.0625,"url","Dirk von Stieg"
"Don of Callaly",0.0625,"url","Dirk von Stieg"
"Caerleon Captivate",0.0625,"url","Dirk von Stieg"
"Calroust Reddy",0.0625,"url","Dirk von Stieg"
"Mink of Hartsheugh",0.0625,"url","Dirk von Stieg"
"Holton Pegasus",0.0625,"url","Dirk von Stieg"
"Caerleon Bead",0.0625,"url","Dirk von Stieg"
"GB CH Cornlands Westelm Flight << Westelm Flight",0.0625,"url","Dirk von Stieg"
"Sherry Fair",0.0625,"url","Dirk von Stieg"
"Glosmere Badger",0.0625,"url","Doro�s Bennet Fellow for Life"
"Inja Nightmare of Fire",0.0625,"url","Doro�s Bennet Fellow for Life"
"Huckleberry v.h. Notenbos",0.0625,"url","Doro�s Bennet Fellow for Life"
"Sable of Carrington",0.0625,"url","Eagle Owl's Osiris"
"Polyanna of Kenwunn",0.0625,"url","Eagle Owl's Osiris"
"Lang of Drumour",0.0625,"url","Eagle Owl's Osiris"
"Bonny Florence Ellen",0.0625,"url","Eagle Owl's Osiris"
"Ragpath's Jazzeroo",0.0625,"url","Eagle Owl's Osiris"
"Rocksteady Mad Max",0.0625,"url","Eternal Friend's Bright Eyes"
"Fogel Hlara Royal Romance",0.0625,"url","Eternal Friend's Bright Eyes"
"Rosanan Sea Lily",0.0625,"url","Eternal Friend's Bright Eyes"
"Wetten Galeija",0.0625,"url","Eternal Friend's Bright Eyes"
"Fogel Hlara Quadroon",0.0625,"url","Eternal Friend's Bright Eyes"
"AmCH Hennings Mills Master Blend",0.0625,"url","Fancyful Tramp Charly Brown"
"Sandalwood Tapestry CD",0.0625,"url","Fancyful Tramp Charly Brown"
"AmCH Scrimshaw The House Rector JH",0.0625,"url","Fancyful Tramp Charly Brown"
"Boradors Dame Fortune",0.0625,"url","Fancyful Tramp Charly Brown"
"Sandalwood Huntsdown Megga CD JH",0.0625,"url","Fancyful Tramp Charly Brown"
"Kelleygreens Bullwinkle",0.0625,"url","Fancyful Tramp Charly Brown"
"Shenandoah's Brown Bess",0.0625,"url","Fancyful Tramp Charly Brown"
"Oakroad's Chateau",0.0625,"url","Fancyful Tramp Charly Brown"
"Penny Royal's Dutchman at Farnfield",0.0625,"url","Fancyful Tramp Charly Brown"
"Farnfield Lilly",0.0625,"url","Fancyful Tramp Charly Brown"
"Annual's Electric Girl",0.0625,"url","Fancyful Tramp Charly Brown"
"GB.Ft.Ch. Moss of Trevale",0.0625,"url","Felice vom Lipperoder Bruch"
"Highdunscott Sasha Of Toadwood",0.0625,"url","Felice vom Lipperoder Bruch"
"Washaway Lawns",0.0625,"url","Felice vom Lipperoder Bruch"
